timestamp,compliant,missing,present
2026-02-09T23:16:47,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:48,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:49,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:51,False,"helmet,vest","Mask,NO-Hardhat,NO-Mask,Person"
2026-02-09T23:16:52,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person,Safety Cone"
2026-02-09T23:16:52,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:52,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person,Safety Cone"
